Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2025-05-10 17:02,2025-05-10 17:52,"Pulldowns",180,8,"125 lbs x 12  140 lbs x 6  170lbs x 3 ",,,,Back,"",
2025-05-10 17:02,2025-05-10 17:52,"Pulldowns",180,6,"rpe 9.5",,,,Back,"",
2025-05-10 17:02,2025-05-10 17:52,"Pulldowns",190,4,"rpe 9.5",,,,Back,"",
2025-05-10 17:02,2025-05-10 17:52,"Dumbbell Bicep Curl",,,"",,,,Biceps,"",
2025-05-10 17:02,2025-05-10 17:52,"Dumbbell Bicep Curl",,,"",,,,Biceps,"",
2025-05-10 17:02,2025-05-10 17:52,"Dumbbell Bicep Curl",,,"",,,,Biceps,"",
2025-05-10 17:02,2025-05-10 17:52,"Dumbbell Bicep Curl",,,"double db curl 20lbs x 10 25lbs x 5, 25x7 ",,,,Biceps,"",
2025-05-10 17:02,2025-05-10 17:52,"lu raises",10,15,"feelsgood",,,,Shoulders,"",
2025-05-10 17:02,2025-05-10 17:52,"lu raises",10,15,"feelsgood",,,,Shoulders,"",
2025-05-10 17:02,2025-05-10 17:52,"Barbell Row",115,10,"low back sus",,,,Back,"",
2025-05-10 17:02,2025-05-10 17:52,"Barbell Row",115,10,"still kinda sus",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"Pull Up",0,5,"wup  13 lbs x 3 26 lbs x 2",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"Pull Up",35,6,"3 mins rest rpe 9.5",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"Pull Up",35,5,"3 mins rest rpe 9.5",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"Pull Up",35,4,"3 mins rest rpe 9.5",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"Pull Up",0,10,"top end of mvt is horribly weak",,,,Back,"",
2025-05-03 19:33,2025-05-03 21:19,"lu raises",10,15,"feelsgood",,,,Shoulders,"",
2025-05-03 19:33,2025-05-03 21:19,"lu raises",10,15,"feelsgood",,,,Shoulders,"",
2025-05-03 19:33,2025-05-03 21:19,"shoulder proof",10,15,"",,,,Shoulders,"",
2025-05-03 19:33,2025-05-03 21:19,"shoulder proof",20,10,"nice tuff",,,,Shoulders,"",
2025-05-03 19:33,2025-05-03 21:19,"Seated Row",145,10,"rpe 9 feeling weak af",,,,Back,"",
